Game,Min,Max ,Play Time,Complexity,Tags,Expansions,Favorite,Easy to Learn,Bluffing,Card,Co-op,Dexterity,Family,Laughter,Luck,Party,Strategy,Trivia,Words,Tags
Cranium,4,12,long,casual,"Family, Trivia, Words", ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"Family, Trivia, Words, "
Cribbage,2,4,medium,casual,"Card, Family, Luck, Strategy", ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"Card, Family, Luck, Strategy, "
Criminal Minds ,5,8,medium,complex,Co-op, ,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Co-op, "
Cryptid,3,5,medium,complex,"Favorite, Bluffing, Strategy", ,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Favorite, Bluffing, Strategy, "
Ctrl,2,4,short,casual,Party, ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Party, "
Cubitos,2,4,medium,casual,"Luck, Strategy", ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"Luck, Strategy, "
D&D Dungeon Mayhem,2,6,short,simple,"Favorite, Easy to Learn, Card, Strategy","Monster Madness, Baldur's Gate",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Favorite, Easy to Learn, Card, Strategy, "
Dragonrealm,2,4,medium,casual,"Card, Luck, Strategy", ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"Card, Luck, Strategy, "
Dude,3,6,short,simple,"Easy to Learn, Card, Laughter", ,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Easy to Learn, Card, Laughter, "
Ecologies,1,6,medium,casual,"Card, Strategy, Words", ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"Card, Strategy, Words, "
Exploding Kittens,2,6,medium,casual,"Favorite, Easy to Learn, Card, Laughter, Luck, Party","Imploding, Streaking, Barking",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Favorite, Easy to Learn, Card, Laughter, Luck, Party, "
Fluxx,2,6,medium,casual,Card,"Star, Monty Python",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Card, "
Forbidden Island,2,4,medium,casual,Co-op, ,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Co-op, "
Fuck the Game,3,8,short,simple,"Easy to Learn, Card, Laughter, Words", ,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Easy to Learn, Card, Laughter, Words, "
Furt,3,8,long,casual,"Laughter, Party", ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Laughter, Party, "
Gloom,2,4,medium,casual,Card, ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Card, "
Goat Lords,3,6,medium,simple,"Easy to Learn, Card", ,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Easy to Learn, Card, "
Golo,2,4,medium,casual,"Luck, Strategy", ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"Luck, Strategy, "
Guess Who,2,2,short,simple,"Easy to Learn, Co-op", ,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Easy to Learn, Co-op, "
Half Truth,2,6,medium,complex,"Easy to Learn, Trivia", ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Easy to Learn, Trivia, "
Herd Mentality ,4,20,short,casual,"Family, Laughter, Party, Trivia, Words", ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,"Family, Laughter, Party, Trivia, Words, "
Hit the Deck,2,8,short,simple,Dexterity, ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Dexterity, "
Hive,2,2,short,complex,Strategy, ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Strategy, "
Hues and Clues,3,10,medium,casual,"Favorite, Easy to Learn", ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Favorite, Easy to Learn, "
I Would Kill Hitler,3,8,medium,simple,"Card, Laughter","I Would Fuck Hitler, I Would Spite Rob",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Card, Laughter, "
iKnow,2,6,medium,complex,"Easy to Learn, Trivia", ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Easy to Learn, Trivia, "
Irish Gauge,3,5,medium,casual,Strategy, ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Strategy, "
Jaws,2,4,medium,casual,Co-op, ,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Co-op, "
Joking Hazard,3,10,short,simple,Laughter, ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Laughter, "
Just One,3,7,medium,complex,"Favorite, Easy to Learn, Bluffing, Co-op", ,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Favorite, Easy to Learn, Bluffing, Co-op, "
Keys to the Castle,2,4,short,simple,"Easy to Learn, Card, Family, Luck", ,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Easy to Learn, Card, Family, Luck, "
Kites,2,6,short,casual,"Easy to Learn, Card, Co-op, Family, Party", ,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Easy to Learn, Card, Co-op, Family, Party, "
Left Center Right,2,8,short,simple,Luck, ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Luck, "
Linkee,2,30,medium,complex,"Easy to Learn, Family, Trivia, Words", ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"Easy to Learn, Family, Trivia, Words, "
Llama Dice,2,6,short,simple,"Easy to Learn, Family, Luck", ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Easy to Learn, Family, Luck, "
Love Letter,2,4,medium,casual,"Easy to Learn, Bluffing", ,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Easy to Learn, Bluffing, "
Mad Quao,3,8,medium,casual,Card, ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Card, "
Mariposas,2,5,long,casual,Strategy, ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Strategy, "
Marrying Mr. Darcy,2,6,long,casual,"Card, Luck, Strategy", ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"Card, Luck, Strategy, "
Martian Chess,2,2,short,complex,Strategy, ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Strategy, "
Mastermind,2,2,short,complex,Strategy, ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Strategy, "
Match Madness,1,4,short,complex,"Easy to Learn, Dexterity, Strategy", ,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Easy to Learn, Dexterity, Strategy, "
Monopoly,2,6,long,casual,"Family, Luck, Strategy","Vintage, Zelda, Deal, Animal Crossing ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"Family, Luck, Strategy, "
Not So Neighborly,2,4,short,casual,"Card, Party", ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Card, Party, "
On a Scale of One to T-Rex,2,8,medium,simple,"Laughter, Party", ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Laughter, Party, "
One Night Ultimate ,3,10,short,casual,Bluffing,"Werewolf, Vampire",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Bluffing, "
Over Under,2,30,short,simple,"Easy to Learn, Luck", ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Easy to Learn, Luck, "
Pac-Man,2,5,medium,casual,"Co-op, Family, Luck, Strategy", ,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"Co-op, Family, Luck, Strategy, "
Pandemic,2,4,long,casual,"Co-op, Strategy", ,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Co-op, Strategy, "
Phase 10,2,6,medium,casual,Card, ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Card, "
Photosynthesis,2,4,medium,casual,Strategy, ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Strategy, "
Pictionary,3,16,medium,simple,"Family, Party", ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Family, Party, "
Pokémon Labyrinth ,2,4,medium,complex,Strategy, ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Strategy, "
Punderdome,3,12,medium,complex,"Laughter, Words", ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Laughter, Words, "
Quelf,3,8,long,casual,"Laughter, Party",Quelf Antics,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Laughter, Party, "
Quixx,2,5,short,casual,"Family, Party, Strategy", ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Family, Party, Strategy, "
Racko,2,4,short,casual,"Easy to Learn, Card, Family, Luck", ,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Easy to Learn, Card, Family, Luck, "
